Rank,Name,Pos,Team,Region,Seed,Games,Points,Rebs,Asts,Stls,Turns,Blocks,Per Gm Prj,Prj Scr,ADP,Sal
1,Zach Edey,C,PURD,East,1,33,22.3,12.82,1.55,0.24,2.27,2.09,22.3,111.52,1.8,0
2,Jalen Wilson,F,KANS,West,1,34,20.09,8.41,2.29,1,2.38,0.5,20.09,100.44,2.6,0
3,Brandon Miller,F,ALA,South,1,34,19.65,8.29,2.06,0.94,2.09,0.85,19.65,98.24,2.43,0
4,Azuolas Tubelis,F,ARIZ,South,2,34,19.76,9.26,2.03,1.06,2.29,0.68,19.76,79.06,4.82,0
5,Marcus Sasser,G,HOU,Midwest,1,33,17.06,2.85,3.18,1.7,1.64,0.18,14.5,72.51,8.94,0
6,Gradey Dick,G,KANS,West,1,34,14.15,4.91,1.59,1.44,1.26,0.26,14.15,70.74,8.73,0
7,Jaime Jaquez,G,UCLA,West,2,34,17.32,8.15,2.32,1.44,1.85,0.62,17.32,69.29,6.81,0
8,Marcus Carr,G,TX,Midwest,2,34,15.88,3.03,4.06,1.76,1.47,0.03,15.88,63.53,11.89,0
9,Mark Sears,G,ALA,South,1,34,12.53,3.38,2.59,1.18,1.97,0.09,12.53,62.65,15.08,0
10,Drew Timme,F,GONZ,West,3,33,20.88,7.33,3.18,0.7,2.58,0.91,20.88,62.64,9,0
11,Trayce Jackson-Davis,F,IND,Midwest,4,30,20.77,10.9,4.1,0.87,2.6,2.73,20.77,62.3,9.64,0
12,Kam Jones,G,MARQ,East,2,34,14.97,3.53,2.03,1.41,1,0.15,14.97,59.88,18.59,0
13,Oumar Ballo,C,ARIZ,South,2,34,14.21,8.53,1.62,0.74,1.88,1.32,14.21,56.82,14.39,0
14,Jarace Walker,F,HOU,Midwest,1,33,11.06,6.61,1.73,1.03,1.48,1.03,11.06,55.3,15.74,0
15,Fletcher Loyer,G,PURD,East,1,34,10.91,1.71,2.47,0.59,1.18,0.06,10.91,54.56,31.07,0
16,Tyger Campbell,G,UCLA,West,2,34,13.62,2.59,4.71,1.21,1.62,0,13.62,54.47,21.11,0
17,Kevin McCullar,G,KANS,West,1,32,10.66,7.06,2.31,2.03,2.09,0.69,10.66,53.28,20.16,0
18,Tyler Kolek,G,MARQ,East,2,34,13.26,4.18,7.68,1.82,2.38,0.15,13.26,53.06,16.2,0
19,Keyontae Johnson,F,KSU,East,3,32,17.66,7.03,2.19,1.13,3.06,0.19,17.66,52.97,23,0
20,KJ Adams,F,KANS,West,1,34,10.38,4.38,1.97,0.74,1.62,0.79,10.38,51.91,30.08,0
21,J'wan Roberts,F,HOU,Midwest,1,34,10.35,7.76,1.09,0.76,1,1.26,10.35,51.76,20.83,0
22,Jamal Shead,G,HOU,Midwest,1,34,10.32,3.03,5.41,1.79,1.94,0.18,10.32,51.62,23.01,0
23,Noah Clowney,F,ALA,South,1,33,10.12,8,0.88,0.55,1.3,1.03,10.12,50.61,20.98,0
24,Markquis Nowell,G,KSU,East,3,32,16.84,3.5,7.59,2.38,3.63,0.06,16.84,50.53,27.1,0
25,Adama Sanogo,F,CONN,West,4,33,16.76,7.27,1.27,0.82,1.94,0.73,16.76,50.27,22.58,0
26,Sir'Jabari Rice,G,TX,Midwest,2,34,12.56,3.62,2.06,0.85,1.56,0.38,12.56,50.24,28.31,0
27,Olivier-Maxence Prosper,F,MARQ,East,2,34,12.44,4.65,0.71,0.94,1.47,0.15,12.44,49.76,36.44,0
28,Souley Boum,G,XAV,Midwest,3,34,16.53,4.29,4.38,1.03,1.91,0.12,16.53,49.59,30.78,0
29,Braden Smith,G,PURD,East,1,34,9.79,4.24,4.32,1.21,1.82,0.18,9.79,48.97,34.16,0
30,Tramon Mark,G,HOU,Midwest,1,34,9.74,4.74,1.91,1.06,1.18,0.44,9.74,48.68,37.81,0
31,Jordan Hawkins,G,CONN,West,4,31,16.13,3.9,1.35,0.77,1.39,0.55,16.13,48.39,32.81,0
32,Keyonte George,G,BAY,South,3,31,15.81,4.23,2.81,1.1,3,0.16,15.81,47.42,34.64,0
33,Adam Flagler,G,BAY,South,3,30,15.53,2.5,4.73,1.27,1.73,0.07,15.53,46.6,36.3,0
34,Colby Jones,G,XAV,Midwest,3,33,15.24,5.42,4.27,1.39,2.33,0.52,15.24,45.73,36.24,0
35,Oso Ighodaro,F,MARQ,East,2,34,11.41,5.94,3.24,0.94,1.65,1.56,11.41,45.65,35.31,0
36,Julian Strawther,G,GONZ,West,3,33,15.12,5.94,1.3,0.91,1.48,0.42,15.12,45.36,29.1,0
37,Dajuan Harris,G,KANS,West,1,34,8.74,2.44,6.24,2.12,1.94,0.44,8.74,43.68,36.01,0
38,LJ Cryer,G,BAY,South,3,29,14.48,2.14,2.1,0.52,1.62,0.03,14.48,43.45,46.38,0
39,Courtney Ramey,G,ARIZ,South,2,31,10.61,3.84,3.55,1.1,1.65,0.06,10.61,42.45,40.85,0
40,Jack Nunge,F,XAV,Midwest,3,34,14.15,7.76,2.06,0.88,1.32,1.15,14.15,42.44,42.04,0
41,Amari Bailey,G,UCLA,West,2,27,10.56,3.74,1.96,1.07,2.41,0.33,10.56,42.22,44.89,0
42,Tyrese Hunter,G,TX,Midwest,2,34,10.24,2.91,2.5,0.85,1.82,0.12,10.24,40.94,47.37,0
43,Pelle Larsson,G,ARIZ,South,2,34,10.18,4.29,3.09,0.82,1.76,0.24,10.18,40.71,48.07,0
44,Jahvon Quinerly,G,ALA,South,1,32,8.13,1.91,3.75,0.66,2.13,0,8.13,40.63,44.99,0
45,Jalen Hood-Schifino,G,IND,Midwest,4,30,13.5,4.1,3.7,0.83,2.8,0.23,13.5,40.5,47.04,0
46,Kerr Kriisa,G,ARIZ,South,2,34,10.12,2.41,5.24,0.59,2.56,0.03,10.12,40.47,51.75,0
47,Santiago Vescovi,G,TENN,East,4,30,12.93,4.63,2.97,1.83,1.53,0.07,12.93,38.8,54.13,0
48,Armaan Franklin,G,UVA,South,4,32,12.53,4.16,1.44,0.94,0.97,0.38,12.53,37.59,54.14,0
49,David Joplin,F,MARQ,East,2,34,9.32,3.32,0.76,0.65,1.29,0.32,9.32,37.29,67.7,0
50,David Singleton,G,UCLA,West,2,34,9.12,2.68,1.06,1.12,0.5,0.18,9.12,36.47,66.03,0
51,Jayden Gardner,F,UVA,South,4,32,12.13,5.78,0.69,0.91,0.97,0.47,12.13,36.38,59.54,0
52,Jaden Bradley,G,ALA,South,1,34,6.85,2.74,3.15,0.53,1.88,0.09,6.85,34.26,65.46,0
53,Anton Watson,F,GONZ,West,3,33,11.33,5.82,2.36,1.85,1.09,0.64,11.33,34,47.17,0
54,Mason Gillis,F,PURD,East,1,31,6.71,3.71,1.23,0.48,0.97,0.06,6.71,33.55,68.88,0
55,Kendric Davis,G,MEMP,East,8,33,22.06,3.73,5.58,2,3.12,0.18,22.06,33.09,38.32,0
56,Cedric Henderson,G,ARIZ,South,2,34,8.26,3.47,1.12,0.76,1.26,0.44,8.26,33.06,75.91,0
57,Dylan Disu,F,TX,Midwest,2,33,8.27,4.15,1.06,0.64,1.24,1.36,8.27,33.09,63.72,0
58,Kihei Clark,G,UVA,South,4,32,10.91,2.63,5.44,1.06,1.97,0.13,10.91,32.72,71.46,0
59,Olivier Nkamhoua,F,TENN,East,4,33,10.58,5.03,2,0.45,1.73,0.64,10.58,31.73,77.39,0
60,Adam Kunkel,G,XAV,Midwest,3,32,10.5,2.72,2.97,1.03,1.72,0.16,10.5,31.5,79.82,0
61,Rasir Bolton,G,GONZ,West,3,33,10.39,1.94,2.61,0.82,1.09,0.12,10.39,31.18,69.79,0
62,Rylan Griffen,G,ALA,South,1,34,6.18,2.62,0.74,0.62,0.82,0.12,6.18,30.88,92.42,0
63,Jalen Bridges,F,BAY,South,3,32,10.28,5.75,1.06,0.88,1.03,1.03,10.28,30.84,68.94,0
64,Brandon Newman,G,PURD,East,1,34,6.12,3.12,1.06,0.53,1,0.32,6.12,30.59,90.59,0
65,Josiah-Jordan James,G,TENN,East,4,21,10.19,4.67,1.67,1.1,1.1,0.1,10.19,30.57,87.08,0
66,Tristen Newton,G,CONN,West,4,33,10.15,4.24,4.61,1.18,2.3,0.27,10.15,30.45,71.73,0
67,Kris Murray,F,IOWA,Midwest,8,28,20.39,7.89,2.04,1,1.54,1.18,20.39,30.59,49.83,0
68,Nae'Qwan Tomlin,F,KSU,East,3,32,10.16,5.97,1.22,1.16,1.28,0.84,10.16,30.47,74.23,0
69,Adem Bona,F,UCLA,West,2,33,7.55,5.24,0.73,0.58,1.27,1.67,7.55,30.18,69.48,0
70,Charles Bediako,C,ALA,South,1,34,6.15,5.79,0.68,0.62,0.79,1.79,6.15,30.74,67.45,0
71,Mike Miles,G,TCU,West,6,25,17.28,2.76,2.6,1.2,2.76,0.2,17.28,29.38,59.1,0
72,Alex Karaban,F,CONN,West,4,33,9.67,4.33,1.79,0.55,1.12,0.67,9.67,29,90,0
73,Max Abmas,G,ORAL,East,12,33,22.15,4.39,4,1.15,1.91,0.15,22.15,28.8,63.07,0
74,Nimari Burnett,G,ALA,South,1,24,5.71,2,0.79,0.33,1.08,0.13,5.71,28.54,110.57,0
75,Emanuel Sharp,G,HOU,Midwest,1,30,5.7,2.17,0.5,0.3,0.87,0.07,5.7,28.5,113.03,0
76,Reece Beekman,G,UVA,South,4,31,9.35,2.97,5.26,1.77,1.52,0.48,9.35,28.06,86.58,0
77,Stevie Mitchell,G,MARQ,East,2,34,7,2.65,1.09,1.71,0.71,0.12,7,28,100.57,0
78,Oscar Tshiebwe,F,KY,East,6,30,16.47,13.13,1.57,1.57,1.9,1,16.47,27.99,36.32,0
79,Caleb Furst,F,PURD,East,1,34,5.59,4.68,0.74,0.38,0.53,0.35,5.59,27.94,89.08,0
80,Isaiah Wong,G,MIA,Midwest,5,32,16.16,4.25,3.44,1.41,2.03,0.44,16.16,27.47,58.57,0
81,Boo Buie,G,NW,West,7,32,17.13,3.34,4.53,1.16,2.47,0.16,17.13,27.4,78.19,0
82,Julian Phillips,F,TENN,East,4,29,9,5.03,1.52,0.62,1.31,0.59,9,27,112.88,0
83,DeAndre Williams,F,MEMP,East,8,34,17.82,8.03,2.88,1.47,2.35,0.97,17.82,26.74,60.34,0
84,Wade Taylor,G,TXAM,Midwest,7,34,16.53,2.74,4,1.76,2.65,0.06,16.53,26.45,70.56,0
85,Desi Sills,G,KSU,East,3,31,8.71,3.58,2.39,0.94,1.74,0.39,8.71,26.13,112.5,0
86,Malachi Smith,G,GONZ,West,3,33,8.67,3.61,1.45,1,0.7,0.03,8.67,26,96.78,0
87,Jordan Miller,G,MIA,Midwest,5,32,15.28,6.19,2.72,1.34,1.34,0.28,15.28,25.98,72.86,0
88,Terrence Shannon,G,ILL,West,9,30,17.13,4.73,2.9,1.27,2.6,0.5,17.13,25.7,87.3,0
89,Kobe Brown,G,MIZZ,South,7,32,15.84,6.28,2.5,1.5,1.66,0.44,15.84,25.35,88.12,0
90,Nolan Hickman,G,GONZ,West,3,33,8.42,2.55,3.21,1.03,1.36,0.33,8.42,25.27,105.46,0
91,Boogie Ellis,G,USC,East,10,32,18.03,3.66,3.03,1.41,1.84,0.22,18.03,25.24,77.21,0
92,Kyle Filipowski,C,DUKE,East,5,34,15.41,8.97,1.56,1.24,2.5,0.76,15.41,26.2,27.14,0
93,Ryan Kalkbrenner,C,CREI,South,6,30,15.37,6.1,1.23,0.7,1.5,2.17,15.37,26.12,62.68,0
94,Tyreke Key,G,TENN,East,4,30,8.37,2.57,1.43,0.67,1.1,0.03,8.37,25.1,127.54,0
95,Jalen Pickett,G,PSU,Midwest,10,35,17.86,7.34,6.69,0.97,2.2,0.51,17.86,25,60.21,0
96,Logan Johnson,G,SMC,West,5,33,14.7,4.79,3.67,1.55,1.85,0.36,14.7,24.98,84.27,0
97,Christian Bishop,F,TX,Midwest,2,34,6.26,3.59,0.88,0.85,1.03,0.62,6.26,25.06,112.96,0
98,Tucker DeVries,G,DRAKE,Midwest,12,33,19.03,5.61,1.76,1.06,1.55,0.21,19.03,24.74,81.74,0
99,Aidan Mahaney,G,SMC,West,5,33,14.48,2.27,2.03,0.91,1.55,0.06,14.48,24.62,97.83,0
100,Antonio Reeves,G,KY,East,6,32,14.41,2.06,1.09,0.41,1.44,0.19,14.41,24.49,82.44,0
101,Noah Gurley,F,ALA,South,1,31,4.87,3.16,0.58,0.35,0.94,0.45,4.87,24.35,127.17,0
102,Jahmir Young,G,MD,South,8,33,16.09,4.73,3.15,1.27,2.09,0.39,16.09,24.14,100.05,0
103,Ricky Council,G,ARK,West,8,33,15.91,3.36,2.27,1.18,2.12,0.24,15.91,23.86,101.85,0
104,D'Moi Hodge,G,MIZZ,South,7,33,14.82,3.79,1.64,2.61,0.76,0.52,14.82,23.71,105.85,0
105,Miller Kopp,F,IND,Midwest,4,33,7.91,2.48,1.21,0.67,0.58,0.15,7.91,23.73,130.12,0
106,Race Thompson,F,IND,Midwest,4,28,7.86,4.96,1.04,0.96,1.07,0.93,7.86,23.57,120.66,0
107,Tyson Walker,G,MSU,East,7,31,14.61,2.52,2.81,1.16,1.29,0.26,14.61,23.38,93.32,0
108,Erik Stevenson,G,WVA,South,9,33,15.55,3.45,2.52,1.03,2.27,0.15,15.55,23.32,114.57,0
109,Trey Kaufman-Renn,F,PURD,East,1,34,4.65,1.88,0.76,0.38,0.76,0.15,4.65,23.24,149.39,0
110,Trey Alexander,G,CREI,South,6,33,13.61,4.15,2.58,1.06,1.42,0.48,13.61,23.13,89.78,0
111,Norchad Omier,F,MIA,Midwest,5,32,13.63,9.72,1.25,1,2,1.31,13.63,23.16,83.19,0
112,Steven Ashworth,G,UTAH-ST,South,10,34,16.32,3.24,4.53,1.18,1.71,0.03,16.32,22.85,106.72,0
113,Terquavion Smith,G,NCST,South,11,33,17.52,3.61,4.21,1.45,2.21,0.36,17.52,22.77,98.91,0
114,Jaren Holmes,G,ISU,Midwest,6,32,13.38,3.72,3.28,1.09,2.25,0.09,13.38,22.74,114.75,0
115,Joey Hauser,F,MSU,East,7,31,14.23,6.94,1.94,0.39,1.55,0.23,14.23,22.76,101.46,0
116,Ja'Vier Francis,F,HOU,Midwest,1,33,4.55,3.7,0.18,0.36,0.3,1.18,4.55,22.73,126.2,0
117,Jeremy Roach,G,DUKE,East,5,30,13.3,2.53,3.13,0.9,2.17,0,13.3,22.61,55.55,0
118,Jarod Lucas,G,NEV,West,11,32,17.28,2.69,1.41,0.38,1.09,0,17.28,22.47,103.37,0
119,Nijel Pack,G,MIA,Midwest,5,30,13.17,2.7,2.47,0.97,1.77,0.2,13.17,22.38,109.92,0
120,Jarkel Joiner,G,NCST,South,11,33,17.12,4.76,3.67,1.33,1.48,0.09,17.12,22.26,106.45,0
121,Chase Audige,G,NW,West,7,32,13.81,3.38,2.78,2.38,2.34,0.66,13.81,22.1,129.89,0
122,Matt Bradley,G,SDSU,South,5,33,12.94,3.79,2.09,0.7,1.42,0.24,12.94,22,107.85,0
123,Gabe Kalscheur,G,ISU,Midwest,6,32,12.94,2.47,1.56,1.44,1.78,0.19,12.94,21.99,116.89,0
124,Jerome Hunter,F,XAV,Midwest,3,34,7.26,4.32,1.29,0.38,1,0.44,7.26,21.79,144.47,0
125,Baylor Scheierman,G,CREI,South,6,33,12.76,8.36,3.24,1.12,2.15,0.24,12.76,21.69,91.1,0
126,Damion Baugh,G,TCU,West,6,27,12.56,4.52,5.81,1.85,2.85,0.26,12.56,21.34,104.73,0
127,Alex Ducas,G,SMC,West,5,33,12.52,4.24,0.94,0.85,1.09,0.39,12.52,21.28,128.21,0
128,Jacob Toppin,F,KY,East,6,31,12.55,6.9,2.23,0.52,1.48,0.48,12.55,21.33,95.08,0
129,Tyrece Radford,G,TXAM,Midwest,7,34,13.24,5.41,2.41,0.88,1.79,0.26,13.24,21.18,116.86,0
130,Drew Pember,F,UNC-ASH,West,15,34,21.18,9.35,2.32,0.85,3.32,2.29,21.18,21.18,100.07,0
131,Emanuel Miller,F,TCU,West,6,30,12.43,6.57,1.77,0.9,1.77,0.87,12.43,21.14,119.74,0
132,Timmy Allen,F,TX,Midwest,2,31,10.55,5.52,3.52,0.9,2.1,0.48,5.27,21.1,94.36,0
133,Filip Rebraca,F,IOWA,Midwest,8,32,14.06,7.56,2.06,0.53,1.66,0.97,14.06,21.09,116.75,0
134,Nick Smith,G,ARK,West,8,14,14,1.79,2,0.93,1.71,0.14,14,21,105.73,0
135,Johni Broome,F,AUB,Midwest,9,31,14,8.35,1.35,0.94,1.74,2.32,14,21,102.86,0
136,Bryce Hopkins,F,PROV,East,11,32,16.06,8.47,2.31,0.84,2.25,0.63,16.06,20.88,100.95,0
137,Wendell Green,G,AUB,Midwest,9,32,13.84,3.31,4.16,1.72,2.72,0.03,13.84,20.77,132.68,0
138,Donovan Clingan,C,CONN,West,4,33,7.09,5.73,0.42,0.42,1.06,1.79,7.09,21.27,138.94,0
139,Tolu Smith,F,MISS-ST,Midwest,11,33,15.82,8.52,1.73,0.67,2.33,0.67,15.82,20.56,102.49,0
140,Jamarius Burton,G,PITT,Midwest,11,31,15.65,4.81,4.42,0.94,2.52,0.13,15.65,20.34,114.64,0
141,Trey Galloway,G,IND,Midwest,4,30,6.77,2.97,2,0.57,0.67,0.07,6.77,20.3,161.06,0
142,Blake Hinson,G,PITT,Midwest,11,33,15.61,6.18,1.24,0.64,1.79,0.52,15.61,20.29,126.24,0
143,Johnell Davis,G,FLA-ATL,East,9,32,13.5,5.22,1.47,1.5,1.75,0.13,13.5,20.25,141.15,0
144,Ryan Nembhard,G,CREI,South,6,33,11.91,4.06,4.91,0.67,2.09,0.09,11.91,20.25,110.41,0
145,Arthur Kaluma,F,CREI,South,6,33,11.91,5.91,1.61,0.58,2,0.55,11.91,20.25,134.08,0
146,Seth Lundy,G,PSU,Midwest,10,34,14.38,6.32,0.91,0.74,0.91,0.62,14.38,20.14,120,0
147,A.J. Hoggard,G,MSU,East,7,31,12.52,3.77,6,0.9,2.48,0.29,12.52,20.03,129.54,0
148,Tyson Degenhart,F,BSU,West,10,33,14.33,5.36,1.76,0.48,1.27,0.36,14.33,20.07,146.85,0
149,Andre Jackson,G,CONN,West,4,30,6.67,6.33,4.27,1.03,2.03,0.6,6.67,20,102.2,0
150,David Jenkins,G,PURD,East,1,33,4,1.3,0.79,0.18,0.79,0,4,20,182.91,0
151,Arterio Morris,G,TX,Midwest,2,34,4.97,1.5,0.53,0.65,0.65,0.21,4.97,19.88,175,0
152,Joseph Yesufu,G,KANS,West,1,33,3.97,1.18,0.39,0.45,0.55,0,3.97,19.85,166.71,0
153,Terrance Arceneaux,G,HOU,Midwest,1,31,3.97,2.58,0.61,0.68,0.61,0.16,3.97,19.84,165.13,0
154,Alijah Martin,G,FLA-ATL,East,9,31,13.16,5.39,1.52,1.06,1.61,0.23,13.16,19.74,153,0
155,Isaac McKneely,G,UVA,South,4,32,6.56,2.22,0.72,0.38,0.66,0.13,6.56,19.69,205.22,0
156,Cason Wallace,G,KY,East,6,30,11.57,3.53,4.23,1.97,2.03,0.5,11.57,19.66,120.53,0
157,Drew Peterson,G,USC,East,10,32,13.97,6.22,4.41,1.09,2.75,0.78,13.97,19.56,132.22,0
158,Max Rice,G,BSU,West,10,33,13.91,4.58,1.73,1,1.64,0.06,13.91,19.47,168.42,0
159,Tamar Bates,G,IND,Midwest,4,33,6.48,1.52,1.15,0.42,0.73,0.06,6.48,19.45,208,0
160,Ethan Morton,G,PURD,East,1,34,3.88,2.97,2.47,0.82,0.97,0.47,3.88,19.41,130.29,0
161,Jordan Brown,F,LA,East,13,32,19.41,8.66,1.81,0.66,2.88,1.22,19.41,19.41,105.03,0
162,Chase Ross,G,MARQ,East,2,34,4.82,1.76,0.79,1.12,0.56,0.15,4.82,19.29,181.73,0
163,Anthony Black,G,ARK,West,8,33,12.85,5.09,4.15,1.97,3.15,0.61,12.85,19.27,134.64,0
164,Matthew Mayer,G,ILL,West,9,32,12.84,5.47,1.16,0.81,1.34,1.25,12.84,19.27,144.81,0
165,Mitchell Saxen,C,SMC,West,5,33,11.64,7.79,1.7,0.76,1.88,1.12,11.64,19.78,141.26,0
166,Cam Carter,G,KSU,East,3,32,6.41,2.97,1.53,0.88,1.66,0.28,6.41,19.22,175.46,0
167,David N'Guessan,F,KSU,East,3,25,6.4,3.76,0.84,0.52,0.96,0.52,6.4,19.2,193.13,0
168,Malik Reneau,F,IND,Midwest,4,33,6.39,3.88,0.79,0.48,1.45,0.24,6.39,19.18,226.14,0
169,Brock Cunningham,F,TX,Midwest,2,34,4.79,3.38,1.35,0.85,0.62,0.21,4.79,19.18,161,0
170,Marques Warrick,G,NKU,Midwest,16,34,19.12,2.41,2.68,1.29,2.21,0.26,19.12,19.12,148.18,0
171,Marcus Shaver,G,BSU,West,10,28,13.46,6.07,3.79,1.61,2.21,0.29,13.46,18.85,165.15,0
172,Kenan Blackshear,G,NEV,West,11,32,14.41,4.13,4.56,1.53,3.06,0.28,14.41,18.73,134.68,0
173,Tony Perkins,G,IOWA,Midwest,8,31,12.48,4.1,2.81,1.45,1.74,0.42,12.48,18.73,153.13,0
174,Dillon Mitchell,F,TX,Midwest,2,34,4.68,4.21,0.41,0.62,0.59,0.32,4.68,18.71,172.67,0
175,Taylor Funk,F,UTAH-ST,South,10,33,13.33,5.48,1.7,0.82,1.3,0.7,13.33,18.67,151.13,0
176,Kylan Boswell,G,ARIZ,South,2,34,4.59,1.59,1.68,0.76,0.82,0,4.59,18.35,167.73,0
177,Phillip Russell,G,SE-MO,South,16,33,18.18,2.91,4.97,1.48,2.88,0.09,18.18,18.18,131.15,0
178,Mike Bothwell,G,FUR,South,13,34,17.97,3.5,3,0.94,1.65,0.15,17.97,17.97,117.31,0
179,Kadin Shedrick,F,UVA,South,4,29,5.93,3.52,0.62,0.83,0.69,1.34,5.93,17.79,183.29,0
180,Desmond Cambridge,G,ASU,West,11,32,13.66,3.53,2.22,1.78,1.47,0.5,13.66,17.75,133.82,0
181,Rayshon Harrison,G,GCU,West,14,35,17.71,4.03,3.6,0.63,2.46,0.2,17.71,17.71,175.25,0
182,Sincere Carry,G,KENT-ST,Midwest,13,34,17.59,3.68,4.85,1.71,2.59,0.21,17.59,17.59,107.8,0
183,Tre Mitchell,F,WVA,South,9,33,11.64,5.48,1.82,0.79,2.09,0.61,11.64,17.45,178.7,0
184,RaeQuan Battle,G,MTST,East,14,34,17.41,2.88,0.97,0.82,1.53,0.53,17.41,17.41,154.64,0
185,Donta Scott,F,MD,South,8,33,11.52,5.94,1.64,0.64,1.33,0.79,11.52,17.27,178.75,0
186,Hakim Hart,G,MD,South,8,33,11.52,4.21,2.55,1.09,1.27,0.18,11.52,17.27,177.1,0
187,Will Baker,C,NEV,West,11,31,13.52,5.13,0.84,0.58,1.94,0.29,13.52,17.57,195,0
188,Joey Calcaterra,G,CONN,West,4,32,5.75,1.78,1.31,0.56,0.88,0.06,5.75,17.25,210.71,0
189,Ed Croswell,F,PROV,East,11,32,13.19,7.56,0.72,1.16,1.47,0.94,13.19,17.14,153.21,0
190,Jonathan Tchamwa Tchatchoua,F,BAY,South,3,10,5.7,4.7,0.5,0.4,1,0.4,5.7,17.1,190.91,0
191,DeAndre Gholston,G,MIZZ,South,7,33,10.67,2.33,1.79,0.73,1.67,0.09,10.67,17.07,197.22,0
192,Devin Carter,G,PROV,East,11,32,13.13,4.94,2.44,1.78,1.66,1.06,13.13,17.06,173.2,0
