Rank,Name,Pos,Team,Region,Seed,Games,Points,Rebs,Asts,Stls,Turns,Blocks,Per Gm Prj,Prj Scr,ADP,Sal
798,Charles Stone,G,KENN,Midwest,14,6,0.33,0.33,0,0.17,0.17,0,0.33,0.33,1000,0
799,Matt Brown,G,KENN,Midwest,14,6,0.33,0.83,0,0,0.17,0,0.33,0.33,1000,0
800,Alphonzo Billups,G,VCU,West,12,8,0.25,0.5,0,0,0.63,0,0.25,0.33,1000,0
801,Dylan Ritter,G,COFC,South,12,12,0.25,0.17,0.25,0,0,0,0.25,0.33,1000,0
802,Anthony Leal,G,IND,Midwest,4,10,0.2,0.2,0.1,0.1,0.1,0,0.1,0.3,1000,0
803,Paxton Warden,G,ILL,West,9,10,0.2,0,0,0,0.2,0.1,0.2,0.3,1000,0
804,Davis Smith,G,MSU,East,7,11,0.18,0.18,0,0,0.09,0,0.18,0.29,1000,0
805,Mabor Majak,C,MIZZ,South,7,8,0.13,0.38,0,0,0.25,0.13,0.13,0.2,1000,0
806,Connor Serven,F,ILL,West,9,6,0.17,0.67,0,0.17,0.33,0,0.17,0.25,1000,0
807,Roy Dixon,G,NW,West,7,12,0.17,0.25,0.08,0.08,0.25,0,0.17,0.27,1000,0
808,Gage Gomez,G,UC-SB,South,14,9,0.22,0.22,0.22,0,0.11,0,0.22,0.22,1000,0
809,Micah Burno,G,ASU,West,11,6,0.17,0.33,0.17,0,0.5,0,0.17,0.22,1000,0
810,Conrad Hawley,G,ISU,Midwest,6,9,0.11,0.78,0,0,0,0,0.11,0.19,1000,0
811,Eric Holland,G,KENN,Midwest,14,6,0.17,0.67,0.17,0.17,0.17,0,0.17,0.17,1000,0
812,John Olmsted,F,ASU,West,11,9,0.11,0.33,0,0,0,0.11,0.11,0.14,1000,0
813,Rett Lister,G,FUR,South,13,13,0.15,0.08,0.08,0,0.23,0,0.15,0.15,1000,0
814,Barry Dunning,G,ARK,West,8,15,0.07,0.13,0.07,0.13,0.13,0,0.07,0.1,1000,0
815,Max Johns,G,DUKE,East,5,8,0,0.38,0.25,0.25,0.25,0,0,0,1000,0
816,Stanley Borden,C,DUKE,East,5,1,0,1,0,0,0,0,0,0,1000,0
817,Spencer Hubbard,G,DUKE,East,5,3,0,0.33,0,0.33,0.67,0,0,0,1000,0
818,Isaiah Miranda,F,NCST,South,11,0,0,0,0,0,0,0,0,0,1000,0
819,KJ Keatts,G,NCST,South,11,9,0,0.11,0,0,0.33,0,0,0,1000,0
820,Alex Nunnally,G,NCST,South,11,10,0,0.2,0,0,0,0,0,0,1000,0
821,Josiah Davis,G,WVA,South,9,6,0.83,0.33,0.17,0,0.33,0,0,0,1000,0
822,Mohamed Wague,F,WVA,South,9,28,4.14,3.07,0.25,0.43,0.71,0.54,0,0,1000,0
823,Jose Perez,G,WVA,South,9,0,0,0,0,0,0,0,0,0,1000,0
824,Tristan How,F,UVA,South,4,4,0.75,1.75,0,0,0,0,0,0,1000,0
825,Leon Bond,G,UVA,South,4,0,0,0,0,0,0,0,0,0,1000,0
826,Dante Harris,G,UVA,South,4,0,0,0,0,0,0,0,0,0,1000,0
827,Isaac Traudt,F,UVA,South,4,0,0,0,0,0,0,0,0,0,1000,0
828,Ben Vander Plas,F,UVA,South,4,29,7.41,4.62,1.41,0.83,0.69,0.38,0,0,1000,0
829,Zach Brooker,G,USC,East,10,2,0,0,0,0,0,0,0,0,1000,0
830,Evan Manjikian,F,UCLA,West,2,2,1.5,0.5,0,0,0,0,0,0,1000,0
831,Jack Seidler,G,UCLA,West,2,0,0,0,0,0,0,0,0,0,1000,0
832,Jaylen Clark,G,UCLA,West,2,31,12.55,5.84,1.81,2.52,1.19,0.26,0,0,1000,0
833,Dan Conlan,G,PSU,Midwest,10,5,0,0.2,0,0.2,0,0,0,0,1000,0
834,Demetrius Lilley,F,PSU,Midwest,10,4,1,0.5,0,0,0.5,0.25,0,0,1000,0
835,Ishaan Jagiasi,G,PSU,Midwest,10,2,0,0,0.5,0,0,0,0,0,1000,0
836,Andy Christos,G,PSU,Midwest,10,2,0,0,0,0,0,0,0,0,1000,0
837,Caleb Dorsey,F,PSU,Midwest,10,17,2.18,2.06,0.41,0.35,0.47,0.18,0,0,1000,0
838,Rowan Brumbaugh,G,TX,Midwest,2,0,0,0,0,0,0,0,0,0,1000,0
839,Preston Clark,F,TX,Midwest,2,0,0,0,0,0,0,0,0,0,1000,0
840,Ethan Henderson,F,TXAM,Midwest,7,0,0,0,0,0,0,0,0,0,1000,0
841,Jordan Williams,G,TXAM,Midwest,7,0,0,0,0,0,0,0,0,0,1000,0
842,Jaelyn Lee,G,TXAM,Midwest,7,0,0,0,0,0,0,0,0,0,1000,0
843,Ashton Smith,F,TXAM,Midwest,7,0,0,0,0,0,0,0,0,0,1000,0
844,Davin Watkins,G,TXAM,Midwest,7,2,0.5,0,0,0.5,0,0,0,0,1000,0
845,Brett Karkus,G,MD,South,8,3,0,0,0,0,0,0,0,0,1000,0
846,Pavlo Dziuba,F,MD,South,8,6,0,0.17,0,0,0.17,0,0,0,1000,0
847,RJ Floyd,G,MD,South,8,0,0,0,0,0,0,0,0,0,1000,0
848,Carson Dick,G,MD,South,8,3,0,0,0,0,0,0,0,0,1000,0
849,Arnaud Revaz,F,MD,South,8,6,0,0.5,0,0,0,0,0,0,1000,0
850,Dillon Wilhite,F,KANS,West,1,5,0,0.2,0,0,0.2,0,0,0,1000,0
851,Kyle Cuffe,G,KANS,West,1,2,0,0.5,0,0,0,0,0,0,1000,0
852,Cam Martin,F,KANS,West,1,4,1.75,0.5,0,0,0,0,0,0,1000,0
853,Charlie McCarthy,G,KANS,West,1,0,0,0,0,0,0,0,0,0,1000,0
854,Wilder Evers,G,KANS,West,1,1,0,0,0,0,0,0,0,0,1000,0
855,Taj Manning,F,KSU,East,3,0,0,0,0,0,0,0,0,0,1000,0
856,Jerrell Colbert,C,KSU,East,3,0,0,0,0,0,0,0,0,0,1000,0
857,Peyton Ackerman,G,KSU,East,3,0,0,0,0,0,0,0,0,0,1000,0
858,Anthony Thomas,G,KSU,East,3,0,0,0,0,0,0,0,0,0,1000,0
859,Steven Izzo,G,MSU,East,7,7,0,0.29,0,0,0,0,0,0,1000,0
860,Nick Sanders,G,MSU,East,7,6,0,0,0,0,0,0,0,0,1000,0
861,Conor Glennon,G,MEMP,East,8,1,0,0,2,0,1,0,0,0,1000,0
862,Ian Granja,F,MEMP,East,8,5,0.6,0,0.2,0.2,0.4,0.2,0,0,1000,0
863,Jahmar Young,F,MEMP,East,8,0,0,0,0,0,0,0,0,0,1000,0
864,Tadarius Jacobs,G,MEMP,East,8,0,0,0,0,0,0,0,0,0,1000,0
865,Keonte Kennedy,G,MEMP,East,8,25,9.24,2.6,0.8,1.16,1.04,0.12,0,0,1000,0
866,James DeJesus,G,MEMP,East,8,0,0,0,0,0,0,0,0,0,1000,0
867,Luc Krystkowiak,G,ARIZ,South,2,2,2,0,1,0,0,0,0,0,1000,0
868,Ben Ackerley,G,ARIZ,South,2,4,0,0.25,0,0,0,0,0,0,1000,0
869,Luke Champion,F,ARIZ,South,2,0,0,0,0,0,0,0,0,0,1000,0
870,Tautvilas Tubelis,F,ARIZ,South,2,5,0,0.2,0,0,0,0,0,0,1000,0
871,Will Menaugh,F,ARIZ,South,2,3,1.33,0.67,0,0,0,0.33,0,0,1000,0
872,Cade Ronzone,G,ASU,West,11,2,0.5,0,0,0,0,0,0,0,1000,0
873,Jordan Williams,G,ASU,West,11,2,0,0,0.5,0,0,0,0,0,1000,0
874,Austin Ronzone,G,ASU,West,11,1,0,0,0,0,1,0,0,0,1000,0
875,Marcus Bagley,F,ASU,West,11,2,12.5,4,1.5,0,2.5,0.5,0,0,1000,0
876,Malcolm Flaggs,G,ASU,West,11,0,0,0,0,0,0,0,0,0,1000,0
877,Bobby Hurley,G,ASU,West,11,5,0.6,0.2,0,0,0.2,0,0,0,1000,0
878,Kidd Brizek,G,TENN,East,4,0,0,0,0,0,0,0,0,0,1000,0
879,Isaiah Sulack,G,TENN,East,4,3,1,0.33,0.33,0,0.33,0,0,0,1000,0
880,Alec Kegler,F,TENN,East,4,2,0,0,0,0,0,0,0,0,1000,0
881,Evan Shiflet,G,TENN,East,4,0,0,0,0,0,0,0,0,0,1000,0
882,Freddie Dilione,G,TENN,East,4,0,0,0,0,0,0,0,0,0,1000,0
883,Colin Coyne,F,TENN,East,4,4,0.5,0.25,0,0,0,0.5,0,0,1000,0
884,D.J. Jefferson,G,TENN,East,4,0,0,0,0,0,0,0,0,0,1000,0
885,Zakai Zeigler,G,TENN,East,4,30,10.7,2.73,5.37,1.97,2.27,0.2,0,0,1000,0
886,Kent Gilbert,G,TENN,East,4,6,0,0.5,0.17,0.17,0.33,0,0,0,1000,0
887,Isaac Stansbury,G,MISS-ST,Midwest,11,8,0,0,0.13,0,0.13,0,0,0,1000,0
888,Tyler Brumfield,G,MISS-ST,Midwest,11,0,0,0,0,0,0,0,0,0,1000,0
889,Filippos Gkogkos,G,MIA,Midwest,5,1,0,0,0,0,0,0,0,0,1000,0
890,Thomas Oosterbroek,F,MIA,Midwest,5,0,0,0,0,0,0,0,0,0,1000,0
891,Danilo Jovanovich,F,MIA,Midwest,5,1,0,0,0,0,0,0,0,0,1000,0
892,Jackson Francois,G,MIZZ,South,7,8,0,0,0,0.13,0,0,0,0,1000,0
893,Jeremiah Williams,G,ISU,Midwest,6,0,0,0,0,0,0,0,0,0,1000,0
894,Dante Eldridge,G,IOWA,Midwest,8,3,0.67,0.33,0.67,0,0,0,0,0,1000,0
895,Luc Laketa,G,IOWA,Midwest,8,4,1,1,0,0,0,0,0,0,1000,0
896,Amarion Nimmers,G,IOWA,Midwest,8,0,0,0,0,0,0,0,0,0,1000,0
897,Jake Younkin,G,BAY,South,3,8,0,0,0,0,0,0,0,0,1000,0
898,Austin Sacks,F,BAY,South,3,0,0,0,0,0,0,0,0,0,1000,0
899,Dantwan Grimes,G,BAY,South,3,0,0,0,0,0,0,0,0,0,1000,0
900,Yarin Hasson,F,CONN,West,4,7,0,0.14,0,0,0,0.14,0,0,1000,0
901,Andre Johnson,G,CONN,West,4,7,0,0,0,0,0,0,0,0,1000,0
902,Emmett Hendry,G,CONN,West,4,7,0,0,0,0,0,0,0,0,1000,0
903,John Hugley,F,PITT,Midwest,11,8,8,3.63,0.75,0.38,2,0.75,0,0,1000,0
904,Dior Johnson,G,PITT,Midwest,11,0,0,0,0,0,0,0,0,0,1000,0
905,Vason Stevenson,F,PITT,Midwest,11,0,0,0,0,0,0,0,0,0,1000,0
906,William Jeffress,G,PITT,Midwest,11,0,0,0,0,0,0,0,0,0,1000,0
907,Hogan Orbaugh,F,IND,Midwest,4,1,0,0,0,0,0,0,0,0,1000,0
908,Michael Shipp,G,IND,Midwest,4,3,0,0,0,0,0,0,0,0,1000,0
909,Nathan Childress,F,IND,Midwest,4,5,0,0.2,0.2,0.2,0,0,0,0,1000,0
910,Logan Duncomb,C,IND,Midwest,4,9,2.89,1.67,0.22,0.11,0.33,0.56,0,0,1000,0
911,Xavier Johnson,G,IND,Midwest,4,11,9.91,3.27,4.91,1.18,2.82,0,0,0,1000,0
912,Shaan Burke,G,IND,Midwest,4,1,0,0,0,0,0,0,0,0,1000,0
913,A.J. Redd,G,ILL,West,9,4,0,0,0,0,0,0,0,0,1000,0
914,Niccolo Moretti,G,ILL,West,9,0,0,0,0,0,0,0,0,0,1000,0
915,Zacharie Perrin,F,ILL,West,9,1,0,0,0,0,0,0,0,0,1000,0
916,Luke Hunger,F,NW,West,7,6,2.67,1.33,0.17,0,0.17,0,0,0,1000,0
917,Gus Hurlburt,F,NW,West,7,0,0,0,0,0,0,0,0,0,1000,0
918,Julian Roper,G,NW,West,7,16,4.13,3.44,1,0.69,0.69,0.25,0,0,1000,0
919,Blake Smith,G,NW,West,7,3,0.67,0.33,0,0,0,0,0,0,1000,0
920,Davin Cosby,G,ALA,South,1,0,0,0,0,0,0,0,0,0,1000,0
921,Max Scharnowski,F,ALA,South,1,3,0,0.67,0,0,0,0,0,0,1000,0
922,Kai Spears,G,ALA,South,1,0,0,0,0,0,0,0,0,0,1000,0
923,Trevon Brazile,F,ARK,West,8,9,11.78,6,1,1,2.22,1.22,0,0,1000,0
924,Presley Patterson,G,AUB,Midwest,9,0,0,0,0,0,0,0,0,0,1000,0
925,Chance Westry,G,AUB,Midwest,9,11,2.45,0.73,1,0.73,0.82,0.18,0,0,1000,0
926,Babatunde Akingbola,C,AUB,Midwest,9,4,0.25,0.5,0,0.25,0,0.25,0,0,1000,0
927,Haston Alexander,C,AUB,Midwest,9,0,0,0,0,0,0,0,0,0,1000,0
928,Carter Sobera,G,AUB,Midwest,9,3,0,0,0,0,0,0,0,0,1000,0
929,Chandler Leopard,G,AUB,Midwest,9,6,0,0.17,0,0,0,0,0,0,1000,0
930,Jalen Harper,G,AUB,Midwest,9,2,0,0,0,0,0,0,0,0,1000,0
931,Brennan Canada,G,KY,East,6,5,0.6,0.2,0,0,0,0,0,0,1000,0
932,Walker Horn,G,KY,East,6,4,0,0.25,0.25,0,1,0,0,0,1000,0
933,Kareem Watkins,G,KY,East,6,4,0,0,0.25,0,0.25,0,0,0,1000,0
934,Grant Darbyshire,G,KY,East,6,0,0,0,0,0,0,0,0,0,1000,0
935,Tyler Broughton,G,SDSU,South,5,6,0,0.17,0,0.17,0.33,0,0,0,1000,0
936,Cam Lawin,G,SDSU,South,5,0,0,0,0,0,0,0,0,0,1000,0
937,Miles Byrd,G,SDSU,South,5,4,4.25,0.5,1.5,0.5,1,0,0,0,1000,0
938,Triston Broughton,G,SDSU,South,5,4,0,0,0,0,0,0,0,0,1000,0
939,Kade Rice,G,BSU,West,10,0,0,0,0,0,0,0,0,0,1000,0
940,Vince Barringer,G,BSU,West,10,0,0,0,0,0,0,0,0,0,1000,0
941,Sam Winter,G,BSU,West,10,3,0,0,0.33,0,0,0,0,0,1000,0
942,RJ Keene,G,BSU,West,10,0,0,0,0,0,0,0,0,0,1000,0
943,Snookey Wigington,G,NEV,West,11,3,0.67,0.33,0,0,0,0,0,0,1000,0
944,Hunter McIntosh,G,NEV,West,11,5,1.2,0.6,1.4,0,0.4,0,0,0,1000,0
945,John Flannigan,F,NEV,West,11,4,0,0.25,0.25,0,0.25,0,0,0,1000,0
946,Michael Folarin,C,NEV,West,11,0,0,0,0,0,0,0,0,0,1000,0
947,K.J. Hymes,F,NEV,West,11,4,9,4.5,0.5,0.25,0.5,3,0,0,1000,0
948,Isaac Johnson,C,UTAH-ST,South,10,0,0,0,0,0,0,0,0,0,1000,0
949,Cade Potter,F,UTAH-ST,South,10,0,0,0,0,0,0,0,0,0,1000,0
950,Landon Brenchley,G,UTAH-ST,South,10,6,0,0.83,0.33,0,0,0,0,0,1000,0
951,Connor Odom,G,UTAH-ST,South,10,4,0,0,0,0,0,0,0,0,1000,0
952,Mason Falslev,G,UTAH-ST,South,10,0,0,0,0,0,0,0,0,0,1000,0
953,Rylan Jones,G,UTAH-ST,South,10,13,4.23,1.31,3.31,0.77,1.23,0.08,0,0,1000,0
954,Conner Gillis,G,UTAH-ST,South,10,6,0,0,0,0,0.17,0.17,0,0,1000,0
955,Michael Niemann,G,TCU,West,6,0,0,0,0,0,0,0,0,0,1000,0
956,Zach Gonsoulin,G,TCU,West,6,6,0,0.17,0,0,0.17,0,0,0,1000,0
957,Trey Stuart,G,TCU,West,6,6,0,0.33,0,0,0,0,0,0,1000,0
958,Cole Despie,G,TCU,West,6,5,0.6,0,0,0,0,0,0,0,1000,0
959,Eddie Lampkin,C,TCU,West,6,24,6.33,5.88,1.21,0.63,1.54,0.5,0,0,1000,0
960,Bradley Colbert,G,XAV,Midwest,3,4,0,0,0,0,0,0,0,0,1000,0
961,Bob Nunge,G,XAV,Midwest,3,4,0,0.25,0,0,0.25,0,0,0,1000,0
962,Zach Freemantle,F,XAV,Midwest,3,22,15.23,8.14,2.91,0.86,2.59,0.68,0,0,1000,0
963,Ian Sabourin,F,XAV,Midwest,3,2,0,0,0,0,0,0,0,0,1000,0
964,KyKy Tandy,G,XAV,Midwest,3,22,2.18,0.77,0.91,0.5,0.45,0.14,0,0,1000,0
965,Michael Wolf,G,XAV,Midwest,3,3,0,0.33,0,0,0,0,0,0,1000,0
966,Cameron Brown,G,MARQ,East,2,0,0,0,0,0,0,0,0,0,1000,0
967,Michael Kennedy,F,MARQ,East,2,10,0,0.3,0,0,0.1,0,0,0,1000,0
968,RJ Walson,G,MARQ,East,2,9,0,0,0,0,0.11,0,0,0,1000,0
969,Zach Wrightsil,F,MARQ,East,2,3,1.33,1.67,0.67,0.33,1.33,0,0,0,1000,0
970,Caleb Kozinski,G,MARQ,East,2,5,0,0,0,0,0.2,0,0,0,1000,0
971,Emarion Ellis,G,MARQ,East,2,1,0,0,0,0,0,0,0,0,1000,0
972,Jake Ciardo,G,MARQ,East,2,5,0,0,0,0,0,0,0,0,1000,0
973,Quante Berry,G,PROV,East,11,0,0,0,0,0,0,0,0,0,1000,0
974,Luke Fonts,G,PROV,East,11,4,0,0,0.25,0,0,0,0,0,1000,0
975,Kieran O'Haire,F,PROV,East,11,5,0,0.4,0.2,0.2,0,0,0,0,1000,0
976,Scott Morozov,F,PROV,East,11,0,0,0,0,0,0,0,0,0,1000,0
977,Ramon Walker,G,HOU,Midwest,1,10,2.9,2.5,0.4,0.2,0.6,0,0,0,1000,0
978,Cedric Lath,C,HOU,Midwest,1,0,0,0,0,0,0,0,0,0,1000,0
979,Mylik Wilson,G,HOU,Midwest,1,0,0,0,0,0,0,0,0,0,1000,0
980,Darius Bowser,C,HOU,Midwest,1,6,0,0.33,0,0,0,0,0,0,1000,0
981,Joe Few,G,GONZ,West,3,0,0,0,0,0,0,0,0,0,1000,0
982,Abe Eagle,F,GONZ,West,3,5,0.8,0.2,0.2,0,0,0,0,0,1000,0
983,Kaden Perry,F,GONZ,West,3,0,0,0,0,0,0,0,0,0,1000,0
984,Braden Huff,F,GONZ,West,3,0,0,0,0,0,0,0,0,0,1000,0
985,Kellen Mitchell,G,GONZ,West,3,0,0,0,0,0,0,0,0,0,1000,0
986,Rory Hawke,G,SMC,West,5,0,0,0,0,0,0,0,0,0,1000,0
987,Mason Forbes,F,SMC,West,5,0,0,0,0,0,0,0,0,0,1000,0
988,Matt Van Komen,C,SMC,West,5,0,0,0,0,0,0,0,0,0,1000,0
989,Cade Bennett,G,SMC,West,5,0,0,0,0,0,0,0,0,0,1000,0
990,Leemet Bockler,G,SMC,West,5,0,0,0,0,0,0,0,0,0,1000,0
991,Kevin Gad,F,SMC,West,5,0,0,0,0,0,0,0,0,0,1000,0
992,Deven Austin,G,PRIN,South,15,22,5.41,2.55,0.55,0.64,1.05,0.5,0,0,1000,0
993,Mason Hooks,F,PRIN,South,15,0,0,0,0,0,0,0,0,0,1000,0
994,Darius Gakwasi,G,PRIN,South,15,0,0,0,0,0,0,0,0,0,1000,0
995,Carson Barrett,G,PURD,East,1,5,1.2,0.6,0.4,0,0.4,0,0,0,1000,0
996,Will Berg,C,PURD,East,1,0,0,0,0,0,0,0,0,0,1000,0
997,Matt Frost,F,PURD,East,1,0,0,0,0,0,0,0,0,0,1000,0
998,Camden Heide,F,PURD,East,1,0,0,0,0,0,0,0,0,0,1000,0
999,Chase Martin,G,PURD,East,1,4,0.5,0.5,0.25,0,0.25,0,0,0,1000,0
1000,Sam King,F,PURD,East,1,4,0,0.25,0,0,0.25,0,0,0,1000,0
1001,London Maiden,C,KENT-ST,Midwest,13,0,0,0,0,0,0,0,0,0,1000,0
1002,Mike Bekelja,G,KENT-ST,Midwest,13,0,0,0,0,0,0,0,0,0,1000,0
1003,Brenden Moss,G,KENT-ST,Midwest,13,0,0,0,0,0,0,0,0,0,1000,0
1004,Robert Carpenter,F,KENT-ST,Midwest,13,0,0,0,0,0,0,0,0,0,1000,0
1005,Magnus Entenmann,F,KENT-ST,Midwest,13,0,0,0,0,0,0,0,0,0,1000,0
1006,Duncan Demuth,F,VERM,East,15,0,0,0,0,0,0,0,0,0,1000,0
1007,Jackson Skipper,F,VERM,East,15,0,0,0,0,0,0,0,0,0,1000,0
1008,Stephen Boateng,G,IONA,West,13,1,2,2,0,0,0,0,0,0,1000,0
1009,Quinn Slazinski,F,IONA,West,13,7,11.29,5.71,1.86,0.57,1.71,0.29,0,0,1000,0
1010,Pearson Parker,G,COLG,Midwest,15,0,0,0,0,0,0,0,0,0,1000,0
1011,Malcolm Bailey,F,COLG,Midwest,15,1,4,9,3,1,0,1,0,0,1000,0
1012,Devin Davis,G,CREI,South,6,0,0,0,0,0,0,0,0,0,1000,0
1013,Jasen Green,F,CREI,South,6,0,0,0,0,0,0,0,0,0,1000,0
1014,John Christofilis,G,CREI,South,6,0,0,0,0,0,0,0,0,0,1000,0
1015,Andrew Alia,G,DRAKE,Midwest,12,0,0,0,0,0,0,0,0,0,1000,0
1016,Issa Samake,F,DRAKE,Midwest,12,1,8,7,2,2,1,2,0,0,1000,0
1017,Brashon Hall,G,DRAKE,Midwest,12,0,0,0,0,0,0,0,0,0,1000,0
1018,Jarren McAllister,G,VCU,West,12,0,0,0,0,0,0,0,0,0,1000,0
1019,Arnold Henderson,G,VCU,West,12,3,0.33,0,0.33,0,0,0,0,0,1000,0
1020,Obinnaya Okafor,F,VCU,West,12,0,0,0,0,0,0,0,0,0,1000,0
1021,Kerwin Prince,F,FDU,East,16,0,0,0,0,0,0,0,0,0,1000,0
1022,Brandon Upshaw,G,FDU,East,16,2,1.5,0,1,0,1,0,0,0,1000,0
1023,Carter Ash,G,MTST,East,14,5,1.8,0.8,0.4,0,0,0,0,0,1000,0
1024,Jack Johnson,G,FLA-ATL,East,9,1,0,0,0,0,0,0,0,0,1000,0
1025,Leo Beath,F,FLA-ATL,East,9,0,0,0,0,0,0,0,0,0,1000,0
1026,Isaiah Crawford,G,LA,East,13,0,0,0,0,0,0,0,0,0,1000,0
1027,Vinny Sigona,G,LA,East,13,5,2.8,0.2,0.4,0,0.2,0,0,0,1000,0
1028,Kyran Ratliff,F,LA,East,13,0,0,0,0,0,0,0,0,0,1000,0
1029,Calen Holiday,G,TXSO,East,16,2,0,0.5,0,0,0,0,0,0,1000,0
1030,Henry Hartwell,G,UC-SB,South,14,2,0,0.5,0,0,0.5,0,0,0,1000,0
1031,David Pickles,F,UC-SB,South,14,3,1,0.33,0,0,0,0,0,0,1000,0
1032,Max Sheldon,G,UC-SB,South,14,3,0,0,0,0,0,0,0,0,1000,0
1033,Ariel Bland,F,UC-SB,South,14,2,0,1.5,0,0,1,0,0,0,1000,0
1034,Zach Harvey,G,UC-SB,South,14,5,2.2,0.6,0,0,0.6,0,0,0,1000,0
1035,Khalil London,G,COFC,South,12,0,0,0,0,0,0,0,0,0,1000,0
1036,Jordan Crawford,G,COFC,South,12,0,0,0,0,0,0,0,0,0,1000,0
1037,Evan Kilminster,G,COFC,South,12,0,0,0,0,0,0,0,0,0,1000,0
1038,Elijah Lawrence,G,ORAL,East,12,0,0,0,0,0,0,0,0,0,1000,0
1039,Sir Issac Herron,F,ORAL,East,12,1,0,1,0,0,1,0,0,0,1000,0
1040,Aaron Harden,F,AMCC,South,16,1,0,0,0,0,1,0,0,0,1000,0
1041,Stephen Giwa,C,AMCC,South,16,0,0,0,0,0,0,0,0,0,1000,0
1042,Ian Clinkscales-King,F,UNC-ASH,West,15,2,1,0.5,0,0,0,0,0,0,1000,0
1043,Davion Cunningham,G,UNC-ASH,West,15,1,3,4,0,0,3,0,0,0,1000,0
1044,Zaharee Maddox,G,UNC-ASH,West,15,4,1,0,0,0.75,0.5,0,0,0,1000,0
1045,Justin Stephens,G,UNC-ASH,West,15,4,0.75,1,0.75,0.25,0.5,0,0,0,1000,0
1046,Cole Sherman,G,NKU,Midwest,16,2,0,0,0,0,0,0,0,0,1000,0
1047,Noah Hupmann,C,NKU,Midwest,16,3,0.33,1,0,0,0.67,0,0,0,1000,0
1048,Cesar Tchilombo,F,NKU,Midwest,16,0,0,0,0,0,0,0,0,0,1000,0
1049,Mitchel Minor,G,NKU,Midwest,16,2,0,0,0,0,0,0,0,0,1000,0
1050,Jovan Blacksher,G,GCU,West,14,12,10.67,2.33,2.42,1.5,1.5,0.25,0,0,1000,0
1051,Derrick Michael Xzavierro,F,GCU,West,14,0,0,0,0,0,0,0,0,0,1000,0
1052,Gavyn Elkamil,G,SE-MO,South,16,0,0,0,0,0,0,0,0,0,1000,0
1053,David Idada,C,SE-MO,South,16,0,0,0,0,0,0,0,0,0,1000,0
1054,Davis Molnar,F,FUR,South,13,0,0,0,0,0,0,0,0,0,1000,0
1055,Blake Harris,G,FUR,South,13,4,0,0,0,0.25,0,0,0,0,1000,0
1056,James Repass,F,FUR,South,13,0,0,0,0,0,0,0,0,0,1000,0
1057,Jonny Lawrence,F,FUR,South,13,5,1.4,0.4,0,0.2,0,0.2,0,0,1000,0
1058,Armani Harris,F,KENN,Midwest,14,5,0.8,0.6,0,0.2,0,0,0,0,1000,0
1059,Ahmad Johnson,G,KENN,Midwest,14,5,2.8,1,0.2,0.2,0.4,0,0,0,1000,0